Make,Model,Title,Price,Mileage,Year,Transmission,Fuel Type,Reviews,Rating,CO2 Emission,Engine Size,Color,Doors,Body Type,Distance
Ford,Ka+,Ford Ka+ 1.2 85 Zetec 5dr,"£7,995","43,221",2017,Manual,Petrol,89,4.0,114 g/km,1.2 L,Grey,5,Hatchback,500 yards
Fiat,500,Fiat 500 1.2 Lounge 3dr,"£9,495","19,418",2018,Manual,Petrol,44,4.5,110 g/km,1.2 L,White,3,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Zetec 3dr,"£9,495","42,700",2017,Manual,Petrol,373,4.0,97 g/km,1.0 L,Black,3,Hatchback,500 yards
Ford,C-MAX,Ford C-MAX 1.5 TDCi Titanium 5dr,"£11,995","48,000",2017,Manual,Diesel,77,4.5,105 g/km,1.5 L,White,5,Mpv,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Zetec 5dr,"£11,995","29,000",2019,Manual,Petrol,373,4.0,106 g/km,1.0 L,Silver,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,"£13,995","19,142",2020,Manual,Petrol,373,4.0,106 g/km,1.0 L,Black,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.1 Zetec 5dr,"£13,995","17,260",2019,Manual,Petrol,373,4.0,114 g/km,1.1 L,White,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,"£13,995","18,012",2020,Manual,Petrol,373,4.0,106 g/km,1.0 L,White,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,"£14,995","7,000",2019,Manual,Petrol,373,4.0,106 g/km,1.0 L,White,5,Hatchback,500 yards
Ford,Focus,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,"£15,495","20,939",2018,Manual,Petrol,620,4.0,107 g/km,1.0 L,Blue,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost 95 ST-Line Edition 3dr,"£15,695","3,354",2020,Manual,Petrol,373,4.0,118 g/km,1.0 L,Black,3,Hatchback,500 yards
Ford,Ecosport,Ford Ecosport 1.0 EcoBoost 125 ST-Line 5dr,"£15,995","27,500",2019,Manual,Petrol,3,4.5,119 g/km,1.0 L,Red,5,Suv,500 yards
Ford,Focus,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,"£15,995","19,500",2019,Manual,Petrol,620,4.0,107 g/km,1.0 L,White,5,Hatchback,500 yards
Ford,Kuga,Ford Kuga 2.0 TDCi 180 Titanium Edition 5dr,"£16,995","27,916",2019,Manual,Diesel,31,4.5,181 g/km,2.0 L,Silver,5,Suv,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr,"£17,995","18,493",2021,Manual,Petrol,373,4.0,121 g/km,1.0 L,White,5,Hatchback,500 yards
Ford,Fiesta Vignale,Ford Fiesta Vignale 1.0 EcoBoost 5dr Auto,"£17,995","18,941",2020,Semiauto,Petrol,373,4.0,127 g/km,1.0 L,Black,5,Hatchback,500 yards
Ford,Puma,Ford Puma 1.0 EcoBoost Titanium 5dr,"£18,995","20,797",2020,Manual,Petrol,9,4.0,133 g/km,1.0 L,White,5,Suv,500 yards
