make,model,title,price,mileage,year,transmission,fuel_type,reviews,rating,color,doors,body_type,distance
Ford,Ka+,Ford Ka+ 1.2 85 Zetec 5dr,7995,43221,2017,Manual,Petrol,89.0,4.0,Grey,5,Hatchback,500 yards
Fiat,500,Fiat 500 1.2 Lounge 3dr,9495,19418,2018,Manual,Petrol,44.0,4.5,White,3,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Zetec 3dr,9495,42700,2017,Manual,Petrol,373.0,4.0,Black,3,Hatchback,500 yards
Ford,C-MAX,Ford C-MAX 1.5 TDCi Titanium 5dr,11995,48000,2017,Manual,Diesel,77.0,4.5,White,5,Mpv,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Zetec 5dr,11995,29000,2019,Manual,Petrol,373.0,4.0,Silver,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,13995,19142,2020,Manual,Petrol,373.0,4.0,Black,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.1 Zetec 5dr,13995,17260,2019,Manual,Petrol,373.0,4.0,White,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,13995,18012,2020,Manual,Petrol,373.0,4.0,White,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Titanium 5dr,14995,7000,2019,Manual,Petrol,373.0,4.0,White,5,Hatchback,500 yards
Ford,Focus,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,15495,20939,2018,Manual,Petrol,620.0,4.0,Blue,5,Hatchback,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost 95 ST-Line Edition 3dr,15695,3354,2020,Manual,Petrol,373.0,4.0,Black,3,Hatchback,500 yards
Ford,Ecosport,Ford Ecosport 1.0 EcoBoost 125 ST-Line 5dr,15995,27500,2019,Manual,Petrol,3.0,4.5,Red,5,Suv,500 yards
Ford,Focus,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,15995,19500,2019,Manual,Petrol,620.0,4.0,White,5,Hatchback,500 yards
Ford,Kuga,Ford Kuga 2.0 TDCi 180 Titanium Edition 5dr,16995,27916,2019,Manual,Diesel,31.0,4.5,Silver,5,Suv,500 yards
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr,17995,18493,2021,Manual,Petrol,373.0,4.0,White,5,Hatchback,500 yards
Ford,Fiesta Vignale,Ford Fiesta Vignale 1.0 EcoBoost 5dr Auto,17995,18941,2020,Semi-auto,Petrol,373.0,4.0,Black,5,Hatchback,500 yards
Ford,Puma,Ford Puma 1.0 EcoBoost Titanium 5dr,18995,20797,2020,Manual,Petrol,9.0,4.0,White,5,Suv,500 yards
Ford,Focus,Ford Focus 1.0 EcoBoost Titanium Style 5dr,22995,1827,2022,Manual,Petrol,620.0,4.0,Blue,5,Hatchback,500 yards
Ford,Focus,Ford Focus 2.3 EcoBoost ST 5dr,23995,26000,2020,Manual,Petrol,620.0,4.0,Blue,5,Hatchback,500 yards
Ford,Puma,Ford Puma 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr,24995,8578,2022,Manual,Petrol,9.0,4.0,Red,5,Suv,500 yards
Ford,Kuga,Ford Kuga 2.0 EcoBlue 190 ST-Line First Edition 5dr Auto AWD,26995,33000,2020,Semi-auto,Diesel,31.0,4.5,Black,5,Suv,500 yards
Ford,Kuga,Ford Kuga 2.5 PHEV ST-Line 5dr CVT,31995,11400,2021,Automatic,Hybrid,31.0,4.5,Silver,5,Suv,500 yards
Ford,Kuga,Ford Kuga 2.5 PHEV ST-Line 5dr CVT,31995,10203,2021,Automatic,Hybrid,31.0,4.5,Red,5,Suv,500 yards
Ford,Kuga,Ford Kuga 2.5 PHEV ST-Line 5dr CVT,36995,9494,2022,Automatic,Hybrid,31.0,4.5,Silver,5,Suv,500 yards
Volkswagen,Caddy,Volkswagen Caddy C20 2.0 TDI T/L,19995,6851,2019,Manual,Diesel,6.0,4.5,Grey,4,Panel van,3 miles
Volkswagen,Transporter,Volkswagen Transporter T30 TDI KOMBI HIGHLINE BMT,27850,63348,2017,Manual,Diesel,19.0,4.5,Grey,4,Window van,3 miles
Volkswagen,Transporter,Volkswagen Transporter T30 TDI P/V HIGHLINE,29850,15856,2020,Manual,Diesel,19.0,4.5,Grey,4,Panel van,3 miles
Volkswagen,California,Volkswagen California SE TDI BLUEMOTION TECHNOLOGY,48995,19600,2015,Manual,Diesel,1.0,5.0,White,4,Motor caravan,3 miles
Volkswagen,California,Volkswagen California OCEAN TSI BMT,56250,16802,2018,Manual,Petrol,1.0,5.0,White,4,Motor caravan,3 miles
Volkswagen,California,Volkswagen California OCEAN DSG TDI BMT,59995,7200,2018,Semi-auto,Diesel,1.0,5.0,Black,4,Motor caravan,3 miles
Volkswagen,California,Volkswagen California COAST TDI,64850,10700,2021,Semi-auto,Diesel,1.0,5.0,Grey,4,Motor caravan,3 miles
Volkswagen,California,Volkswagen California OCEAN TDI,76850,1139,2021,Semi-auto,Diesel,1.0,5.0,Grey,5,Motor caravan,3 miles
Porsche,911,Porsche 911 CARRERA 2S,34000,93000,2007,Manual,Petrol,19.0,4.0,Blue,2,Coupe,5 miles
Hyundai,i10,Hyundai i10 1.0 Play 5dr,10950,16001,2020,Manual,Petrol,58.0,4.0,White,5,Hatchback,7 miles
Hyundai,i20,Hyundai i20 1.2 MPi Play 5dr,12240,30008,2019,Manual,Petrol,53.0,4.5,Red,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.2 MPi Premium 5dr,15732,10805,2022,Manual,Petrol,58.0,4.0,Black,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.0 T-GDi N Line 5dr,16176,9048,2022,Manual,Petrol,58.0,4.0,White,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.0 MPi Premium 5dr Auto,16908,10568,2022,Semi-auto,Petrol,58.0,4.0,Silver,5,Hatchback,7 miles
Hyundai,i10,Hyundai i10 1.0 MPi Premium 5dr Auto,17316,3453,2022,Semi-auto,Petrol,58.0,4.0,Other,5,Hatchback,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 CRDi 136 Premium SE 5dr 2WD DCT,22360,21645,2019,Semi-auto,Diesel,11.0,4.5,White,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi 48V MHD SE Connect 5dr 2WD DCT,25728,14186,2022,Semi-auto,Hybrid,11.0,4.5,White,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi Hybrid 230 SE Connect 5dr 2WD Auto,27192,17631,2021,Semi-auto,Hybrid,11.0,4.5,Black,5,Suv,7 miles
Hyundai,Tucson,Hyundai Tucson 1.6 TGDi 48V MHD SE Connect 5dr 2WD DCT,27204,3334,2022,Semi-auto,Hybrid,11.0,4.5,Silver,5,Suv,7 miles
